City Name,Airport Name,Country,Length (ft),Elevation (ft),,Geographic Location
PILANESBERG,SUN CITY,SOUTH AFRICA,6562,3410,,2520S 2710E
PLETTENBERG BAY,PLETTENBERG BAY,SOUTH AFRICA,4003,456,,3405S 2319E
PORT ELIZABETH,PORT ELIZABETH,SOUTH AFRICA,6496,225,,3359S 2537E
PRETORIA,WONDERBROOM,SOUTH AFRICA,6000,4095,,2539S 2813E
QUEENSTOWN,QUEENSTOWN,SOUTH AFRICA,3937,3637,,3155S 2653E
RICHARDS BAY,RICHARDS BAY,SOUTH AFRICA,4265,108,,2844S 3206E
SISHEN,SISHEN,SOUTH AFRICA,5709,3848,,2739S 2300E
THABA NCHU,THABA NCHU,SOUTH AFRICA,6562,4931,,2919S 2649E
ULUNDI,ULUNDI,SOUTH AFRICA,5381,1723,,2819S 3125E
UPINGTON,PIERRE VAN RYNEVELD,SOUTH AFRICA,16076,2790,,2824S 2116E
VEREENIGING,VEREENIGING,SOUTH AFRICA,5266,4846,,2635S 2758E
VICTORIA WEST,VICTORIA WEST,SOUTH AFRICA,5780,4122,,3124S 2309E
VRYHEID,VRYHEID,SOUTH AFRICA,3737,3800,,2747S 3048E
WELKOM,WELKOM,SOUTH AFRICA,6578,4399,,2800S 2640E
WINDHOEK EROS,EROS,SOUTH AFRICA,6000,5584,,2237S 1705E
WINDHOEK INTL,WINDHOEK INTL.,SOUTH AFRICA,14869,5640,,2229S 1728E
CHEJU,CHEJU INTL.,SOUTH KOREA,9843,118,,3330N 12630E
PUSAN,KIMHAE INTL.,SOUTH KOREA,9000,13,,3511N 12856E
SEOUL,KIMPO INTL.,SOUTH KOREA,11811,58,,3733N 12648E
ALICANTE,ALICANTE,SPAIN,9843,141,,3817N 0034W
ALMERIA,ALMERIA,SPAIN,10499,72,,3651N 0222W
ASTURIAS,ASTURIAS,SPAIN,7218,417,,4334N 0602W
BARCELONA,BARCELONA,SPAIN,10197,13,,4118N 0205W
BILBAO,BILBAO,SPAIN,8530,138,,4318N 0256W
CORDOBA,CORDOBA,SPAIN,4528,295,,3751N 0451W
GERONA,GERONA,SPAIN,7874,469,,4154N 0246E
GRANDA,GRANDA,SPAIN,9514,1860,,3711N 0347W
IBIZA,IBIZA,SPAIN,9186,23,,3852N 0122E
JEREZ,JEREZ,SPAIN,7546,92,,3645N 0604W
LA CORUNA,LA CORUNA,SPAIN,6365,328,,4318N 0823W
MADRID BARAJAS,BARAJAS,SPAIN,13450,1999,,4029N 0334W
MADRID GETAFE,GETAFE,SPAIN,8136,2028,,4018N 0343W
MALAGA,MALAGA,SPAIN,10500,52,,3640N 0430W
MINORCA,MINORCA,SPAIN,7710,290,,3952N 0413E
PALMA,PALMA,SPAIN,10728,32,,3933N 0244E
PAMPLONA,PAMPLONA,SPAIN,7241,1506,,4246N 0139W
REUS,REUS,SPAIN,7218,233,,4109N 0110E
SALAMANCA,SALAMANCA,SPAIN,8202,2602,,4057N 0530W
SAN SEBASTIAN,SAN SEBASTIAN,SPAIN,5755,16,,4321N 0147W
SANTANDER,SANTANDER,SPAIN,7874,20,,4326N 0349W
SANTIAGO,SANTIAGO,SPAIN,10499,1214,,4254N 0825W
SEVILLE,SEVILLE,SPAIN,11024,112,,3725N 0554W
VALENCIA,VALENCIA,SPAIN,8858,226,,3929N 0029W
VIGO,VIGO,SPAIN,7874,860,,4214N 0838W
VITORIA,VITORIA,SPAIN,11483,1682,,4253N 0243W
COLOMBO INTL,KATUNAYAKE,SRI LANKA,10991,30,,0711N 7953E
COLOMBO RATMALANA,RATMALANA,SRI LANKA,6013,22,,0649N 7953E
JAFFNA,JAFFNA,SRI LANKA,7000,33,,0948N 8004E
GENEINA,GENEINA,SUDAN,6168,2650,,1329N 2227E
JUBA,JUBA,SUDAN,7874,1509,,0452N 3136E
KHARTOUM,KHARTOUM,SUDAN,9843,1261,,1535N 3233E
MATSAPHA,MANZINI,SWAZILAND,8530,2075,,2631S 3119E
ANGELHOLM,ANGELHOLM,SWEDEN,6562,65,,5617N 1251E
BORLANGE,BORLANGE,SWEDEN,7585,503,,6025N 1531E
GOTHENBURG,SAVE,SWEDEN,6319,66,,5747N 1152E
JONKOPING,JONKOPING,SWEDEN,7218,741,,5746N 1404E
KALMAR,KALMAR,SWEDEN,6726,21,,5641N 1617E
KARLSTAD,KARLSTAD,SWEDEN,5020,152,,5922N 1328E
MALMO,STURUP,SWEDEN,9186,236,,5533N 1322E
MORA,SILJAN,SWEDEN,5938,633,,6058N 1431E
NORKOPING,KUNGSANGEN,SWEDEN,7218,17,,5835N 1615E
OREBRO,OREBRO,SWEDEN,6562,187,,5914N 1503E
STOCKHOLM ARLANDA,ARLANDA,SWEDEN,10827,123,,5939N 1755E
STOCKHOLM BROMA,BROMMA,SWEDEN,5863,46,,5921N 1757E
SUNDSVALL,HARNOSAND,SWEDEN,6234,13,,6232N 1727E
UMEA,UMEA,SWEDEN,6562,22,,6348N 2017E
VISBY,VISBY,SWEDEN,6562,167,,5740N 1821E
BERNE,BELP,SWITZERLAND,4298,1673,,4655N 0730E
GENEVA,GENEVA,SWITZERLAND,12795,1411,,4614N 0607E
SION,SION,SWITZERLAND,6562,1581,,4613N 0720E
ZURICH,ZURICH,SWITZERLAND,12140,1416,,4728N 0833E
DAMASCUS,DAMASCUS INTL.,SYRIA,11811,2020,,3325N 3631E
KAOHSIUNG INTL.,KAOHSIUNG INTL.,TAIWAN,10335,31,,2235N 12021E
TAIPEI INTL.,CHIANG KAI SHEK,TAIWAN,12008,73,,2505N 12113E
DAR ES SALAAM,DAR ES SALAAM,TANZANIA,5377,4550,,0653S 3912E
KILIMANJARO,KILIMANJARO,TANZANIA,11811,2932,,0326S 3704E
MTWARA,MTWARA,TANZANIA,7408,371,,1020S 4011E
MWANZA,MWANZA,TANZANIA,10827,3763,,0227S 3256E
PEMBA,KARUME,TANZANIA,5003,80,,0515S 3949E
TABORA,TABORA,TANZANIA,5860,3868,,0505S 3250E
TANGA,TANGA,TANZANIA,4160,128,,0506S 3904E
ZANZIBAR,KISAUNI,TANZANIA,8077,54,,0613S 3913E
N'DJAMENA,N'DJAMENA,TCHAD,9186,968,,1208N 1502E
BANGKOK,BANGKOK,THAILAND,12139,9,,1355N 10037E
CHIANG MAI,CHIANG MAI,THAILAND,10171,1035,,1846N 9858E
PHUKET,PHUKET,THAILAND,9840,82,,0807N 9819E
SONGKHLA,HAT YAI INTL.,THAILAND,10007,90,,0656N 10025E
SURAT THANI,SURAT THANI,THAILAND,8202,19,,0908N 9908E
LOME,TOKOIN,TOGO,9843,72,,0610N 0115E
PORT OF SPAIN,PIARCO,TRINIDAD & TOBAGO,10499,57,,1036N 6121W
SCARBOROUGH,CROWN POINT,TRINIDAD & TOBAGO,9003,36,,1109N 6050W
JERBA,ZARZIS,TUNISIA,10171,16,,3352N 1047E
MONASTIR,HABIB BOURGUIBA INTL,TUNISIA,9679,7,,3545N 1045E
SFAX,THYNA,TUNISIA,9842,85,,3443N 1041E
TOZEUR,NEFTA,TUNISIA,10581,285,,3356N 0807E
TUNIS,CARTHAGE,TUNISIA,10500,20,,3651N 1014E
ADANA,SAKIRPASA,TURKEY,9022,66,,3659N 3517E
ANKARA,ESENBOGA,TURKEY,12310,3125,,4007N 3300E
DALAMAN,MUGLA,TURKEY,9843,20,,3642N 2847E
ISTANBUL,ATATURK,TURKEY,9842,158,,4059N 2849E
IZMIR,ADNAN MENDERES,TURKEY,10630,412,,3818N 2710E
ASHKHABAD,ASHKHABAD,TURKMENISTAN,9842,689,,3759N 5821E
ENTEBBE,ENTEBBE,UGANDA,12001,3782,,0003N 3226E
KIEV,BORISPOL,UKRAINE,11843,427,,5021N 3053E
LVOV,LVOV,UKRAINE,8235,1070,,4948N 2358E
ODESSA,ODESSA,UKRAINE,9186,171,,4626N 3041E
ABU DHABI,ABU DHABI INTL,UNITED ARAB EMIRATES,13451,88,,2426N 5439E
ABU DHABI,BATEEN,UNITED ARAB EMIRATES,10500,15,,2426N 5427E
DUBAI,DUBAI,UNITED ARAB EMIRATES,13123,34,,2515N 5521E
FUJAIRAH,FUJAIRAH INTL.,UNITED ARAB EMIRATES,12303,152,,2506N 5620E
RAS AL KHAIMAH,RAS AL KHAIMAH,UNITED ARAB EMIRATES,12336,102,,2537N 5556E
SHARJAH,SHARJAH INTL.,UNITED ARAB EMIRATES,12336,111,,2520N 5531E
ABERDEEN,ABERDEEN,UNITED KINGDOM,6001,215,,5712N 0212W
ALDERNEY,ALDERNEY,UNITED KINGDOM,2887,291,,4942N 0213W
ASCENSION IS.,WIDEAWAKE,UNITED KINGDOM,10000,273,,0758S 1424W
BARROW,WALNEY ISLAND,UNITED KINGDOM,3953,47,,5408N 0316W
BEDFORD,BEDFORD,UNITED KINGDOM,10500,293,,5214N 0028W
BELFAST,ALDERGROVE,UNITED KINGDOM,9110,267,,5439N 0614W
BELFAST,CITY,UNITED KINGDOM,6000,15,,5437N 0552W
BEMBRIDGE,BEMBRIDGE,UNITED KINGDOM,2746,55,,5041N 0106W
BENBECULA,BENBECULA,UNITED KINGDOM,5417,19,,5729N 0722W
BIGGIN HILL,BIGGIN HILL,UNITED KINGDOM,5932,600,,5119N 0002E
BIRMINGHAM UK,BIRMINGHAM,UNITED KINGDOM,7398,325,,5227N 0145W
BLACKBUSHE,BLACKBUSHE,UNITED KINGDOM,4403,329,,5119N 0051W
BLACKPOOL,BLACKPOOL,UNITED KINGDOM,6000,34,,5346N 0302W
BOURNEMOUTH,BOURNEMOUTH,UNITED KINGDOM,6030,36,,5047N 0150W
BRISTOL,BRISTOL,UNITED KINGDOM,6598,620,,5123N 0243W
CAMBRIDGE,CAMBRIDGE,UNITED KINGDOM,6447,50,,5212N 0011E
CARDIFF,CARDIFF,UNITED KINGDOM,7000,220,,5124N 0321W
CARLISLE,CARLISLE,UNITED KINGDOM,6027,190,,5456N 0249W
COVENTRY,COVENTRY,UNITED KINGDOM,5300,281,,5222N 0129W
CRANFIELD,CRANFIELD,UNITED KINGDOM,5928,364,,5204N 0037W
DUNDEE,DUNDEE,UNITED KINGDOM,3609,13,,5627N 0301W
EAST MIDLANDS,EAST MIDLANDS,UNITED KINGDOM,7480,310,,5250N 0119W
EDINBURGH,EDINBURGH,UNITED KINGDOM,8400,135,,5557N 0322W
EXETER,EXETER,UNITED KINGDOM,6834,102,,5044N 0325W
GLASGOW,GLASGOW,UNITED KINGDOM,8720,26,,5552N 0426W
GLOUCESTERSHIRE,GLOUCESTERSHIRE,UNITED KINGDOM,4662,95,,5154N 0210W
GUERNSEY,GUERNSEY,UNITED KINGDOM,4800,336,,4926N 0236W
HUMBERSIDE,HUMBERSIDE,UNITED KINGDOM,7218,122,,5335N 0021W
INVERNESS,DALCROSS,UNITED KINGDOM,6191,31,,5732N 0403W
ISLAY,ISLAY,UNITED KINGDOM,5069,54,,5541N 0615W
ISLE OF MAN,RONALDSWAY,UNITED KINGDOM,5751,55,,5404N 0438W
JERSEY,JERSEY,UNITED KINGDOM,5597,277,,4913N 0212W
KIRKWALL,KIRKWALL,UNITED KINGDOM,4698,50,,5858N 0254W
LEEDS BRADFORD,LEEDS BRADFORD,UNITED KINGDOM,7382,681,,5352N 0140W
LIVERPOOL,LIVERPOOL,UNITED KINGDOM,7500,81,,5321N 0253W
LONDON CITY,CITY,UNITED KINGDOM,3379,16,,5130N 0003E
LONDON GATWICK,GATWICK,UNITED KINGDOM,10364,202,,5109N 0011W
LONDON HEATHROW,HEATHROW,UNITED KINGDOM,12802,80,,5129N 0028W
LONDON STANSTED,STANSTED,UNITED KINGDOM,10000,347,,5153N 0014E
LUTON,LUTON,UNITED KINGDOM,7087,526,,5153N 0022W
LYDD,LYDD,UNITED KINGDOM,4935,11,,5057N 0056E
MANCHESTER,MANCHESTER,UNITED KINGDOM,10000,256,,5321N 0216W
MANSTON,MANSTON,UNITED KINGDOM,9029,178,,5120N 0121E
NEWCASTLE,NEWCASTLE,UNITED KINGDOM,7651,266,,5502N 0141W
OXFORD,KIDLINGTON,UNITED KINGDOM,5098,270,,5150N 0119W
PLYMOUTH,CITY,UNITED KINGDOM,3839,474,,5025N 0406W
PRESTWICK,PRESTWICK,UNITED KINGDOM,9800,66,,5530N 0435W
SOUTHAMPTOM,EASTLEIGH,UNITED KINGDOM,5653,44,,5057N 0121W
SOUTHEND,SOUTHEND,UNITED KINGDOM,5265,48,,5134N 0042E
STORNOWAY,STORNOWAY,UNITED KINGDOM,7211,25,,5813N 0620W
SUMBURGH,SUMBURGH,UNITED KINGDOM,4680,18,,5953N 0118W
SWANSEA,SWANSEA,UNITED KINGDOM,4830,296,,5136N 0404W
TEESIDE,TEESIDE,UNITED KINGDOM,7516,120,,5431N 0125W
TIREE,TIREE,UNITED KINGDOM,4429,38,,5630N 0652W
UNST,UNST,UNITED KINGDOM,2100,62,,6045N 0051W
WICK,WICK,UNITED KINGDOM,5279,125,,5827N 0306W
ALBUQUERQUE,ALBUQUERQUE,UNITED STATES,13375,5352,,3503N 10636W
ATLANTA,WM. B. HARTSFIELD,UNITED STATES,11889,1026,,3338N 8426W
ATLANTIC CITY,ATLANTIC CITY,UNITED STATES,10000,76,,3927N 7435W
BALTIMORE,WASHINGTON INTL,UNITED STATES,9519,146,,3911N 7640W
BANGOR,BANGOR INTL,UNITED STATES,11438,192,,4448N 4850W
BEDFORD,BEDFORD,UNITED STATES,7000,133,,4228N 7117W
BIRMINGHAM US,BIRMINGHAM INTL,UNITED STATES,8000,644,,3334N 8645W
BOSTON,LOGAN INTL,UNITED STATES,10081,20,,4222N 7100W
BUFFALO,BUFFALO,UNITED STATES,8100,724,,4256N 7844W
BURLINGTON,BURLINGTON,UNITED STATES,7807,334,,4428N 7309W
CASPER,NATRONA COUNTY INTL,UNITED STATES,10600,5348,,4254N 10628W
CENTRAL FLORIDA REGIONAL,SANFORD,UNITED STATES,8000,55,,2847N 8114W
CHARLESTON,CHARLESTON,UNITED STATES,9000,45,,3254N 8002W
CHARLOTTE,DOUGLAS,UNITED STATES,10000,749,,3531N 8056W
CHATTANOOGA,LOVELL FIELD,UNITED STATES,7401,682,,3502N 8512W
CHEYENNE,CHEYENNE,UNITED STATES,9201,6156,,4109N 10449W
CHICAGO,CHICAGO O'HARE,UNITED STATES,13000,667,,4159N 8754W
CINCINNATI,NORTHERN KENTUCKY INTL,UNITED STATES,10000,891,,3903N 8440W
CLEARWATER,CLEARWATER,UNITED STATES,8500,11,,2755N 8241W
CLEVELAND,CLEVELAND,UNITED STATES,8500,792,,4125N 8151W
COLARADO SPRINGS,CITY OF COLARADO,UNITED STATES,13500,6172,,3849N 10443W
COLUMBIA,COLUMBIA MET,UNITED STATES,8600,236,,3357N 8107W
COLUMBUS,PORT COLUMBUS,UNITED STATES,10700,816,,4000N 8253W
DALLAS,DALLAS FORT WORTH,UNITED STATES,13400,603,,3254N 9702W
DALLAS,LOVE FIELD,UNITED STATES,8800,487,,3251N 9651W
DENVER,DENVER INTL,UNITED STATES,12000,5431,,3951N 10440W
DES MOINES,DES MOINES,UNITED STATES,9000,957,,4132N 9339W
DETROIT WAYNE,WAYNE,UNITED STATES,12000,639,,4213N 8321W
DETROIT WILLOW RUN,WILLOW RUN,UNITED STATES,7526,716,,4214N 8332W
DULUTH,DULUTH INTL,UNITED STATES,10152,1428,,4650N 9211W
EVERETT,SNOHOMISH COUNTY,UNITED STATES,9010,606,,4754N 12217W
FARGO,HECTOR INTL,UNITED STATES,9546,900,,4655N 9649W
FORT LAUDERDALE,FORT LAUDERDALE,UNITED STATES,9000,11,,2604N 8009W
FRESNO,FRESNO,UNITED STATES,9222,332,,3647N 11943W
GRAND JUNCTION,WALKER FIELD,UNITED STATES,10501,4858,,3907N 10832W
GREAT FALLS,GREAT FALLS,UNITED STATES,10500,3674,,4729N 11122W
HOUSTON,HOUSTON INTL,UNITED STATES,12000,98,,2959N 9520W
HUNTSVILLE,HUNTSVILLE,UNITED STATES,10000,629,,3438N 8646W
INDIANAPOLIS,INDIANAPOLIS INTL,UNITED STATES,10005,797,,3944N 8617W
JACKSONVILLE,JACKSONVILLE INTL,UNITED STATES,8000,30,,3029N 8141W
KANSAS CITY INTL,KANSAS CITY INTL,UNITED STATES,10801,1025,,3918N 9444W
KNOXVILLE,KNOXVILLE,UNITED STATES,9008,981,,3549N 8400W
LAS VEGAS,LAS VEGAS,UNITED STATES,12635,2174,,3605N 11509W
LONG BEACH,LONG BEACH,UNITED STATES,10000,58,,3349N 11809W
LOS ANGELES,LOS ANGELES INTL,UNITED STATES,12090,126,,3356N 11824W
LOUISVILLE,STANDIFORD FIELD,UNITED STATES,10000,497,,3811N 8544W
MEMPHIS INTL,MEMPHIS INTL,UNITED STATES,9319,332,,3504N 8958W
MIAMI,MIAMI INTL,UNITED STATES,13000,10,,2548N 8017W
MILWAUKEE,MILWAUKEE,UNITED STATES,9690,723,,4257N 8754W
MINNEAPOLIS,MINNEAPOLIS,UNITED STATES,10000,841,,4453N 9313W
MONTGOMERY,MONTGOMERY,UNITED STATES,9001,221,,3218N 8624W
MOSES LAKE,GRANT COUNTY,UNITED STATES,13501,1185,,4712N 11919W
NASHVILLE,NASHVILLE,UNITED STATES,11030,597,,3608N 8641W
NEW ORLEANS,NEW ORLEANS,UNITED STATES,10080,4,,2959N 9016W
NEW YORK JOHN F. KENNEDY,JOHN F. KENNEDY,UNITED STATES,14572,12,,4039N 7374W
NEW YORK LA GUARDIA,LA GUARDIA,UNITED STATES,7000,22,,4047N 7352W
NEWARK,NEWARK INTL,UNITED STATES,9300,18,,4043N 7410W
NEWBURGH,STEWART,UNITED STATES,11818,471,,4130N 7406W
NEWPORT NEWS,WILLIAMSBURG INTL,UNITED STATES,8003,41,,3708N 7630W
NIAGARA FALLS,NIAGARA FALLS,UNITED STATES,9125,590,,4306N 7857N
NORFOLK,NORFOLK INTL,UNITED STATES,9000,27,,3654N 7612W
OAKLAND,OAKLAND,UNITED STATES,10000,6,,3744N 12213W
OMAHA,EPPLEY,UNITED STATES,8500,983,,4118N 9554W
ONTARIO,ONTARIO INTL,UNITED STATES,12200,942,,3403N 11736W
ORLANDO,ORLANDO,UNITED STATES,12004,96,,2826N 8119W
PHILADELPHIA,PHILADELPHIA,UNITED STATES,10500,21,,3953N 7514W
PHOENIX,SKY HARBOR,UNITED STATES,11001,1132,,3326N 11201W
PITTSBURGH,PITTSBURGH,UNITED STATES,11500,1203,,4030N 8014W
PORTLAND,PORTLAND INTL,UNITED STATES,11011,26,,4535N 12236W
PORTLAND,PORTLAND INTL JETPORT,UNITED STATES,6800,74,,4339N 7018W
PRESSQUE ISLE,NORTHERN MAINE REGIONAL,UNITED STATES,7440,534,,4641N 6803W
PUEBLO MEMORIAL,PUEBLO MEMORIAL,UNITED STATES,10500,4726,,3817N 10430W
RENO,CANNON INTL,UNITED STATES,10000,4412,,2930N 11946W
RICHMOND,RICHMOND,UNITED STATES,9000,168,,3730N 7719W
SACRAMENTO,METROPLOLITAN,UNITED STATES,8600,24,,3842N 12136W
SALT LAKE CITY,SALT LAKE CITY,UNITED STATES,12000,4227,,4047N 11158W
SAN ANTONIO,SAN ANTONIO INTL,UNITED STATES,8500,809,,2932N 9828W
SAN DIEGO,SAN DIEGO,UNITED STATES,9400,15,,3244N 11711W
SAN FRANCISCO,SAN FRANCISCO,UNITED STATES,11870,11,,3737N 12223W
SAVANNAH,SAVANNAH,UNITED STATES,9351,51,,3208N 8112W
SEATTLE,TACOMA,UNITED STATES,11900,429,,4727N 12218W
SEATTLE BOEING FIELD,KING COUNTY INTL,UNITED STATES,10000,18,,4732N 12218W
SIOUX FALLS,SIOUX FALLS,UNITED STATES,9000,1428,,4335N 9644W
SPOKANE INTL,SPOKANE INTL,UNITED STATES,9000,2372,,4738N 11732W
ST. LOUIS,ST. LOUIS INTL,UNITED STATES,11019,605,,3845N 9022W
SYRACUSE,HANCOCK INTL,UNITED STATES,9005,421,,4307N 7606W
TAMPA,TAMPA INTL,UNITED STATES,11002,27,,2758N 8232W
WASHINGTON DULLES,DULLES,UNITED STATES,11500,313,,3857N 7727W
WASHINGTON NATIONAL,NATIONAL,UNITED STATES,6869,16,,3851N 7702W
WEST PALM BEACH,WEST PALM BEACH,UNITED STATES,7991,19,,2641N 8006W
WILMINGTON,NEW HANOVER COUNTY,UNITED STATES,7999,32,,3416N 7754W
WINDSOR LOCKS,WINDSOR LOCKS,UNITED STATES,9501,174,,4156N 7241W
MONTEVIDEO,CARRASCO,URUGUAY,8858,104,,3450S 5602W
SAMARKAND,SAMARKAND,UZBEKISTAN,10171,2224,,3942N 6656E
TASHKENT,YUZHNYY,UZBEKISTAN,13123,1414,,4115N 6917E
CARACAS,SIMON BOLIVAR,VENEZUELA,11483,235,,1036N 6659W
MARACAIBO,LA CHINITA,VENEZUELA,8169,213,,1034N 7144W
MARGARITA,DEL CARIBE,VENEZUELA,10433,89,,1055N 6358W
DANANG,DANANG,VIETNAM,10000,33,,1603N 10812E
HANOI,NOIBAI,VIETNAM,10499,39,,2113N 10548E
HOCHIMINH,TANSONNHAT,VIETNAM,10000,33,,1049N 10639E
ST. LUCIA,HEWANORRA INTL,WINDWARD ISLANDS,9000,11,,1345N 6057W
ADEN,ADEN,YEMEN ARAB REPUBLIC,10168,12,,1250N 4502E
HODEIDAH,HODEIDAH,YEMEN ARAB REPUBLIC,9843,41,,1445N 4259E
SANAA,SANAA INTL.,YEMEN ARAB REPUBLIC,10669,7237,,1529N 4413E
TAIZ,GANED,YEMEN ARAB REPUBLIC,9843,4600,,1341N 4408E
BELGRADE,BELGRADE,YUGOSLAVIA,11155,335,,4449N 2019E
MOSTAR,MOSTAR,YUGOSLAVIA,7874,174,,4317N 1751E
OHRID,OHRID,YUGOSLAVIA,8366,2313,,4111N 2045E
PODGORICA,PODGORICA,YUGOSLAVIA,8202,118,,4222N 1915E
SARAJEVO,SARAJEVO,YUGOSLAVIA,8530,1700,,4349N 1820E
SKOPJE,SKOPJE,YUGOSLAVIA,8038,781,,4158N 2138E
TIVAT,TIVAT,YUGOSLAVIA,8202,20,,4224N 1844E
KINSHASA,NDJILI,ZAIRE,11811,1027,,0423S 1526E
KISANGANI,BANGOKA,ZAIRE,11483,1417,,0029N 2520E
LUBUMBASHI,BARRER LUANO,ZAIRE,8858,4295,,1135S 2731E
MBUJI-MAYI,MBUJI-MAYI,ZAIRE,6562,2221,,0607S 2336E
KASAMA,KASAMA,ZAMBIA,6589,4542,,1013S 3108E
LIVINGSTONE,LIVINGSTONE,ZAMBIA,7520,3250,,1749S 2549E
LUSAKA,LUSAKA INTL.,ZAMBIA,13000,3779,,1520S 2827E
MANSA,MANSA,ZAMBIA,5610,4100,,1108S 2852E
MONGU,MONGU,ZAMBIA,4800,3465,,1514S 2309E
N'DOLA,N'DOLA,ZAMBIA,8250,4167,,1300S 2839E
BULAWAYO,BULAWAYO,ZIMBABWAE,8491,4366,,2001S 2838E
CHIREDZI,BUFFALO RANGE,ZIMBABWAE,5177,1421,,2101S 3135E
HARARE,CHARLES PRINCE,ZIMBABWAE,3035,4850,,1745S 3055E
HARARE,HARARE INTL.,ZIMBABWAE,15502,4901,,1756S 3106E
HWANGE,NATIONAL PARK,ZIMBABWAE,14764,3542,,1838S 2700E
KARIBA,KARIBA,ZIMBABWAE,5413,1706,,1631S 2853E
MASVINGO,MASVINGO,ZIMBABWAE,5663,3956,,2004S 3052E
VICTORIA FALLS,VICTORIA FALLS,ZIMBABWAE,7500,3490,,1806S 2550E
